"id","street_1","street_2","street_3","street_4"
"I2537","Bealey","Carlton Mill","Harper","Park"
"I2554","Hagley","Oxford","Riccarton","Tuam"
"I2605","Armagh","Hagley Park","Park","Rolleston"
"I2606","Rolleston","Worcester","",""
"I2610","Antigua","Tuam","",""
"I2611","Antigua","St Asaph","",""
"I2621","Hagley","Park","Salisbury",""
"I2629","Antigua","Moorhouse","",""
"I2632","Bealey","Papanui","Victoria",""
"I2712","Bealey","Montreal","",""
"I2715","Montreal","Salisbury","Victoria",""
"I2716","Gloucester","Montreal","",""
"I2718","Montreal","Worcester","",""
"I2719","Hereford","Montreal","",""
"I2727","Montreal","St Asaph","",""
"I2728","Montreal","Tuam","",""
"I2731","Montreal","Moorhouse","",""
"I2754","Cranmer","Kilmore","Montreal",""
"I2755","Armagh","Cranmer","Montreal",""
"I2814","Cambridge","Worcester","",""
"I2815","Cambridge","Hereford","",""
"I2832","Cambridge","Durham North","Gloucester",""
"I2836","Bealey","Durham North","",""
"I2840","Durham North","Salisbury","",""
"I2843","Cambridge","Durham South","Lichfield","Oxford"
"I2848","Durham North","Kilmore","Victoria",""
"I2849","Armagh","Durham North","",""
"I2850","Durham South","Tuam","",""
"I2853","Durham South","St Asaph","",""
"I2859","Durham South","Moorhouse","",""
"I2874","Hereford","Oxford","",""
"I2906","Armagh","Oxford","",""
"I2953","Bealey","Colombo","",""
"I2956","Colombo","Salisbury","",""
"I2957","Colombo","Peterborough","",""
"I2958","Colombo","Kilmore","",""
"I2959","Armagh","Colombo","",""
"I2961","Colombo","Gloucester","",""
"I2963","Cathedral","Colombo","Hereford","High"
"I2966","Cashel","Colombo","",""
"I2967","Colombo","Lichfield","",""
"I2968","Colombo","Tuam","",""
"I2970","Colombo","St Asaph","",""
"I2976","Colombo","Moorhouse","",""
"I3043","Bealey","Sherborne","",""
"I3063","Armagh","New Regent","",""
"I3064","Gloucester","New Regent","",""
"I3088","Bealey","Manchester","",""
"I3093","Kilmore","Manchester","",""
"I3096","Armagh","Manchester","",""
"I3097","Manchester","Worcester","",""
"I3098","Gloucester","Manchester","",""
"I3100","Cashel","Manchester","",""
"I3104","Manchester","Tuam","",""
"I3105","High","Lichfield","Manchester",""
"I3107","Manchester","St Asaph","",""
"I3112","Manchester","Moorhouse","Pilgrim",""
"I3154","High","Tuam","",""
"I3171","Latimer","Worcester","",""
"I3195","Madras","Salisbury","",""
"I3198","Bealey","Madras","",""
"I3200","Kilmore","Madras","",""
"I3201","Chester East","Madras","",""
"I3208","Cashel","Madras","",""
"I3210","Lichfield","Madras","",""
"I3212","Madras","Tuam","",""
"I3213","High","Madras","St Asaph",""
"I3220","Barbadoes","Tuam","",""
"I3221","Gasson","Madras","Moorhouse",""
"I3238","Gloucester","Latimer","Madras",""
"I3239","Latimer","Worcester","",""
"I3240","Hereford","Latimer","Madras",""
"I3255","Kilmore","Oxford","",""
"I3258","Ferry","St Asaph","",""
"I3303","Barbadoes","Salisbury","",""
"I3304","Barbadoes","Bealey","",""
"I3307","Barbadoes","Kilmore","",""
"I3314","Barbadoes","Worcester","",""
"I3315","Barbadoes","Hereford","",""
"I3317","Barbadoes","Gloucester","",""
"I3320","Barbadoes","Tuam","",""
"I3322","Barbadoes","St Asaph","",""
"I3323","Barbadoes","Ferry","",""
"I3325","Barbadoes","Moorhouse","Waltham",""
"I3457","Kilmore","Oxford","",""
"I3475","Bealey","Fitzgerald","London","Whitmore"
"I3484","Avonside","Fitzgerald","Kilmore",""
"I3485","Fitzgerald","Gloucester","",""
"I3486","Fitzgerald","Worcester","",""
"I3488","Cashel","Fitzgerald","",""
"I3489","Fitzgerald","Hereford","",""
"I3490","Fitzgerald","Lichfield","",""
"I3492","Fitzgerald","Tuam","",""
"I3494","Ferry","Fitzgerald","",""
"I3497","Fitzgerald","St Asaph","",""
"I3502","Falsgrave","Fitzgerald","Moorhouse",""
